Time,Open,High,Low,Close,Vol
1642998600000,35358.25,35386.31,35206.48,35239.99,191.76017
1642999500000,35240.0,35264.77,35065.0,35123.56,325.72522
1643000400000,35123.57,35126.01,34991.75,35075.1,363.35089
1643001300000,35075.1,35149.99,35016.32,35038.52,313.05084
1643002200000,35038.94,35109.74,34936.37,35038.56,435.12803
1643003100000,35038.55,35249.27,35036.0,35184.06,335.2086
1643004000000,35184.06,35216.92,35054.01,35113.22,224.95864
1643004900000,35113.21,35351.82,35088.4,35322.35,257.22209
1643005800000,35322.34,35356.65,35252.39,35340.36,191.75738
1643006700000,35340.36,35340.36,35250.22,35265.37,192.16119
1643007600000,35265.14,35269.9,35115.54,35127.07,345.55157
1643008500000,35127.06,35314.95,35127.06,35238.79,256.96509
1643009400000,35238.78,35287.22,34988.92,34998.16,413.35777
1643010300000,34998.15,35064.88,34811.87,34888.81,523.15242
1643011200000,34887.9,35042.24,34850.0,35032.17,408.19888
1643012100000,35028.66,35160.73,35015.86,35136.46,330.82757
1643013000000,35136.47,35220.45,35100.0,35139.27,294.43143
1643013900000,35136.89,35562.15,34792.53,34959.79,1792.83798
1643014800000,34959.79,35093.13,34866.5,34903.26,599.70629
1643015700000,34903.25,34934.71,34401.5,34725.39,1634.14793
1643016600000,34729.0,34841.85,34477.0,34518.76,755.2931
1643017500000,34518.76,34681.49,34432.01,34512.2,1031.28615
1643018400000,34510.04,34600.0,33560.0,33856.85,3975.098702
1643019300000,33856.84,33978.43,33500.0,33534.37,2533.052391
1643020200000,33534.37,33772.0,33434.12,33600.0,1571.13708
1643021100000,33600.0,33748.94,33250.0,33276.59,1820.34888
1643022000000,33276.59,33912.3,33029.54,33874.63,3372.342962
1643022900000,33874.64,34249.88,33682.24,33781.67,2139.29729
1643023800000,33781.66,33950.0,33607.38,33853.21,846.13318
1643024700000,33853.21,33985.48,33638.09,33697.11,697.97668
1643025600000,33697.12,33890.0,33488.88,33652.64,793.90843
1643026500000,33652.65,33674.51,33367.33,33587.04,788.74085
1643027400000,33587.05,33709.37,33300.0,33394.65,1278.60081
1643028300000,33394.65,33665.58,33036.44,33114.9,1815.58633
1643029200000,33114.89,33776.02,32917.17,33472.71,3291.562596
1643030100000,33472.71,33763.7,33318.89,33521.79,1024.17035
1643031000000,33521.79,33624.99,33250.0,33342.0,874.25437
1643031900000,33341.99,33591.01,33328.51,33335.23,802.28432
1643032800000,33335.23,33383.88,33100.0,33361.97,1513.75985
1643033700000,33361.97,33668.7,33328.82,33603.99,1010.67108
1643034600000,33603.99,34138.16,33386.66,33709.57,2997.25355
